"caseid","sample_weight","prospective_persfin","pred_favored_win","pred_correct_win","health","mortgage","gender","age"
586,1.8482,4,1,0,4,0,1,60
590,1.1319,3,0,1,2,0,0,58
591,1.1501,5,1,1,5,0,1,23
592,2.0381,3,1,0,3,0,0,26
594,1.3332,4,1,0,4,0,0,45
596,1.1061,4,0,1,3,0,1,29
598,3.1562,5,1,0,4,0,0,25
599,0.8947,3,1,0,3,0,1,67
600,0.6823,3,0,0,4,1,0,36
603,0.7428,4,1,1,2,1,0,52
604,1.0202,2,0,0,3,0,1,23
606,0.4802,3,1,0,3,0,1,29
607,0.5852,3,1,0,4,1,1,90
608,3.1461,5,1,0,3,1,1,46
609,0.2788,4,0,1,4,0,0,81
610,0.2799,2,1,0,2,1,0,68
611,0.3439,2,1,1,3,0,0,39
614,1.1381,3,0,1,4,1,1,65
615,1.1053,3,1,0,4,0,1,31
617,0.859,3,1,1,3,0,1,65
619,0.6078,5,0,1,3,0,0,45
620,0.5877,5,1,0,5,0,1,57
621,1.7245,3,1,0,5,0,0,43
622,1.2812,2,1,0,4,0,1,26
624,1.1787,5,1,0,3,0,0,62
627,1.0166,3,1,0,3,1,1,74
628,0.4914,4,1,0,3,1,1,54
629,0.741,3,1,1,4,1,0,45
630,2.2928,2,0,1,4,0,1,57
634,1.2536,3,1,0,3,0,1,23
636,0.7475,4,1,0,4,0,0,29
637,0.364,5,1,0,4,1,1,60
638,0.3895,3,0,1,3,0,0,75
641,0.577,2,1,0,3,0,0,64
644,1.1252,4,1,1,4,0,1,49
645,1.2325,4,1,0,5,1,1,29
646,0.4893,3,1,1,3,1,0,49
647,2.5747,3,1,0,2,0,0,39
648,0.8605,4,0,1,4,0,0,62
649,1.1962,3,1,0,2,1,1,57
650,0.6653,4,1,0,4,0,0,24
651,0.808,4,1,0,3,0,0,66
653,0.306,3,1,0,5,1,1,58
656,1.3156,2,1,1,4,0,1,59
659,0.5936,3,1,0,3,0,1,34
660,1.629,3,0,1,3,1,0,44
661,1.1234,3,0,1,5,0,1,24
663,0.6678,3,1,0,3,0,1,51
664,0.2795,3,1,1,4,0,0,62
666,1.1581,3,1,0,3,0,1,34
668,0.3585,4,0,1,2,0,1,53
669,2.3265,3,1,0,4,0,1,58
676,0.3371,2,0,1,2,1,0,63
679,1.4438,4,1,0,3,0,0,53
681,0.5137,4,1,0,2,1,1,38
682,0.3247,3,1,0,4,1,1,42
683,1.7031,2,0,1,5,0,1,45
685,1.1105,2,1,1,1,0,1,41
686,1.5263,3,1,0,4,1,1,51
687,0.6038,3,1,1,3,0,1,60
688,1.4389,3,1,0,3,0,0,85
689,0.3886,4,1,1,2,1,0,56
690,0.7975,4,1,0,5,0,0,28
692,1.3528,4,0,1,2,1,1,52
693,0.2336,2,0,1,3,0,0,79
694,0.5098,4,1,0,3,0,0,48
695,0.714,3,1,0,3,1,0,62
696,0.3212,2,1,1,2,0,1,65
697,1.5293,2,1,0,3,1,1,52
698,0.8921,3,1,1,4,0,0,48
699,0.7428,3,1,0,3,0,1,87
700,0.9232,3,0,1,3,0,0,75
701,0.7838,3,0,1,5,1,1,39
704,0.8526,3,1,0,5,0,0,81
705,1.6087,3,1,0,3,0,1,26
706,1.0163,3,1,0,5,1,0,34
709,0.7747,3,1,0,2,0,1,72
710,0.3217,4,1,1,3,1,0,70
711,0.9458,3,1,0,5,0,0,68
712,2.2969,4,1,0,4,1,0,53
713,1.1959,4,1,0,2,1,1,35
714,0.6793,5,1,0,3,0,0,57
715,0.725,1,0,1,4,1,0,75
717,0.6198,3,1,1,5,1,1,57
720,0.1328,3,1,1,3,1,0,87
721,0.9299,2,1,1,1,0,1,66
722,1.2522,3,1,0,5,0,1,36
723,1.0104,4,1,0,4,0,0,37
724,0.3928,5,1,0,5,0,0,49
728,1.9986,2,0,1,5,1,0,54
729,0.6014,3,1,1,4,1,0,35
731,0.6464,4,1,1,1,0,0,72
737,1.6861,4,1,0,4,0,1,59
740,0.4931,1,1,0,5,0,1,31
741,0.602,4,0,1,3,0,0,43
742,0.8518,3,1,0,4,0,0,51
744,0.9625,4,1,1,3,0,0,31
745,0.5513,3,1,0,4,0,1,43
746,0.5782,3,1,1,4,1,0,54
747,0.8824,5,1,0,5,0,1,37
749,0.621,3,1,0,3,0,0,67
750,0.3408,3,0,1,4,1,0,50
752,0.7477,5,1,0,5,1,0,37
753,0.7826,4,1,0,4,0,1,50
754,0.4083,3,1,0,1,0,0,74
755,2.7773,3,1,1,4,1,0,53
756,0.4267,5,1,1,5,0,0,66
757,0.7027,4,1,1,5,0,0,47
759,0.1181,5,1,1,4,1,0,38
761,0.9561,4,1,0,1,1,0,68
763,0.3046,3,1,1,3,0,0,31
765,0.9287,5,1,1,4,0,1,30
767,0.6226,2,1,0,4,0,0,30
768,0.7156,2,1,1,3,1,1,46
769,1.1481,3,1,1,2,0,1,59
770,0.8397,3,1,1,3,0,1,68
771,0.7208,3,0,1,3,1,1,57
775,0.435,3,1,0,4,1,0,67
776,0.2917,4,1,0,5,0,1,40
777,0.3674,5,1,0,3,0,0,37
778,0.4177,3,1,0,3,1,0,77
781,0.8922,3,0,1,3,0,1,47
782,1.3308,3,1,0,4,0,1,75
783,0.6152,4,1,0,4,1,0,71
788,0.5587,3,1,1,4,1,0,61
790,0.779,5,1,0,5,0,1,27
791,0.6574,4,1,0,3,0,1,38
792,1.1195,3,1,0,4,0,1,39
794,0.9613,4,1,0,1,1,1,63
795,1.4397,2,0,1,4,0,1,18
799,0.2483,3,1,1,2,1,0,66
800,0.2562,3,1,0,1,0,1,89
801,0.4731,5,1,1,5,1,1,55
802,4.0212,3,1,0,3,1,1,47
806,0.8138,4,0,1,3,1,1,37
809,0.8176,4,1,1,4,0,1,22
810,1.5775,3,0,1,4,0,1,42
811,0.3689,5,1,0,4,0,1,27
812,0.5307,3,1,0,1,1,1,79
813,1.8483,5,1,0,3,1,1,30
814,0.3806,4,1,0,3,1,0,55
815,0.5015,5,0,0,5,0,1,22
816,1.3641,3,1,0,5,0,1,66
817,1.9229,3,1,1,3,1,0,46
820,0.3887,4,1,1,5,1,0,35
821,3.1947,3,1,0,4,0,1,23
822,0.3881,3,0,1,2,0,1,26
