"vote_choice","respondent_id","approve_EU","NHS_improved","income","female","age","wt_combined_main","party_id","taxspend","vote"
3,2732,4,2,11,0,44,0.686641991138458,2,0,FALSE
4,2743,4,1,12,0,65,0.427762985229492,2,7,FALSE
2,2744,1,3,7,0,57,0.855525016784668,2,2,TRUE
1,2748,3,1,6,1,67,0.857140004634857,2,1,FALSE
2,2749,2,1,12,1,54,1.32102298736572,2,1,TRUE
1,2758,2,2,15,1,63,0.428570002317429,2,6,FALSE
1,2762,4,3,9,0,51,1.04985296726227,2,3,FALSE
1,2763,3,3,3,0,21,0.70558100938797,2,4,FALSE
2,2764,4,3,2,0,24,1.41116094589233,2,2,TRUE
2,2765,5,4,4,0,67,0.427762985229492,2,0,TRUE
3,2766,5,2,12,1,22,1.99897503852844,2,0,FALSE
2,2767,1,4,8,1,54,0.880681991577148,2,3,TRUE
2,2773,2,2,5,1,54,0.880681991577148,2,1,TRUE
2,2776,3,4,12,1,37,0.880681991577148,2,1,TRUE
1,2778,4,3,8,0,68,0.855525016784668,2,2,FALSE
3,2780,4,2,15,0,44,1.04985296726227,2,2,FALSE
4,2786,1,1,3,1,71,0.428570002317429,2,4,FALSE
2,2789,4,3,6,0,64,0.855525016784668,2,0,TRUE
4,2794,1,1,9,1,38,0.880681991577148,2,0,FALSE
2,2796,2,1,5,0,72,0.855525016784668,2,1,TRUE
2,2797,2,1,3,1,71,0.857140004634857,2,0,TRUE
4,2800,1,1,15,0,58,1.71105003356934,2,2,FALSE
2,2801,3,2,11,1,39,0.880681991577148,2,2,TRUE
1,2803,4,2,15,0,46,1.04985296726227,2,2,FALSE
1,2805,4,1,8,0,48,1.04985296726227,2,0,FALSE
1,2806,2,3,14,1,46,1.32102298736572,2,2,FALSE
2,2808,5,2,5,0,56,0.427762985229492,2,2,TRUE
2,2812,5,3,6,0,70,0.855525016784668,2,3,TRUE
4,2814,2,1,3,0,67,0.855525016784668,2,1,FALSE
1,2822,1,3,5,0,83,0.983850002288818,2,0,FALSE
2,2825,3,2,8,1,54,0.440340995788574,2,0,TRUE
1,2832,1,1,1,1,76,0.656256973743439,2,2,FALSE
2,2834,2,1,9,1,56,0.428570002317429,2,4,TRUE
4,2850,2,3,5,0,49,1.04985296726227,2,4,FALSE
4,2856,2,1,5,0,48,1.04985296726227,2,2,FALSE
1,2862,4,1,4,0,30,0.569302976131439,2,3,FALSE
1,2870,2,3,4,0,65,0.427762985229492,2,1,FALSE
3,2871,5,4,7,0,52,1.04985296726227,2,6,FALSE
1,2877,3,2,4,0,55,0.855525016784668,2,3,FALSE
2,2882,4,2,8,0,80,0.491925001144409,2,5,TRUE
1,2883,3,1,13,0,64,0.855525016784668,2,3,FALSE
2,2884,4,1,14,1,39,0.440340995788574,2,2,TRUE
2,2888,2,3,4,1,88,0.656256973743439,2,2,TRUE
2,2894,5,2,15,0,46,1.04985296726227,2,2,TRUE
1,2,3,3,9,0,56,1.29151201248169,3,1,FALSE
2,6,2,3,10,0,60,0.430503994226456,3,1,FALSE
1,13,4,3,13,0,71,0.83042699098587,3,2,FALSE
1,15,5,4,15,0,42,1.01905298233032,3,0,FALSE
2,16,5,3,15,1,45,0.854846000671387,3,0,FALSE
1,20,4,4,15,0,32,1.36367905139923,3,2,FALSE
1,21,4,3,15,0,61,1.53696000576019,3,3,FALSE
2,22,4,1,11,1,53,1.05476999282837,3,3,FALSE
2,23,5,3,12,0,43,1.25738096237183,3,3,FALSE
2,26,2,2,7,0,45,0.594137012958527,3,2,FALSE
2,27,4,2,11,0,49,1.18827402591705,3,3,FALSE
4,37,3,1,12,0,42,0.628691017627716,3,0,FALSE
1,40,2,2,12,1,52,1.58215498924255,3,0,FALSE
1,41,4,2,12,1,61,1.02657401561737,3,0,FALSE
1,43,2,3,11,1,57,1.02657401561737,3,0,FALSE
1,45,2,3,15,1,50,2.63692498207092,3,6,FALSE
1,46,4,3,13,0,39,1.25738096237183,3,1,FALSE
1,47,1,1,4,1,78,0.785982012748718,3,3,FALSE
1,54,4,2,13,0,35,0.628691017627716,3,1,FALSE
1,56,1,3,4,0,72,1.0246410369873,3,3,FALSE
1,58,5,4,11,0,59,0.512319982051849,3,0,FALSE
2,61,3,3,12,1,35,0.527384996414185,3,0,FALSE
2,64,4,1,5,0,72,0.894955992698669,3,3,FALSE
4,71,1,1,5,0,31,1.19108402729034,3,0,FALSE
2,77,2,3,8,1,65,0.485076010227203,3,3,FALSE
2,79,3,1,4,0,56,0.968325018882751,3,1,FALSE
2,81,4,2,4,1,56,0.485076010227203,3,0,FALSE
2,90,4,1,12,0,45,1.13697803020477,3,3,FALSE
2,91,4,2,6,1,45,0.953768014907837,3,4,FALSE
3,94,5,2,12,0,49,1.70546495914459,3,5,TRUE
3,96,3,1,8,1,47,0.476884007453918,3,1,TRUE
2,100,4,2,7,0,40,1.34028398990631,3,0,FALSE
4,106,1,1,2,1,60,0.593496024608612,3,6,FALSE
1,110,2,4,9,0,64,0.947476983070374,3,1,FALSE
